Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
Verify the 'Export' Buttons so that the Saved Personal agenda Can be added Into the personal Calendar.,EL-68,10083,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 8:02 PM,09/Sep/21 5:05 AM,09/Sep/21 5:05 AM,09/Sep/21 5:05 AM,,0,"As a User when I navigates for the export buttons which are available in the personal agenda calendar pop up then I am able to download those personal agenda calendar.

Those 'Export' Buttons are :-
* Export in iCal format as private event
* Export in iCal format as public event
* Export in iCal format as confidential event",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ez:,,EL Sprint 1,,,,,,,,,Done
Verify that 'Previous Button' to change the month is working or not.,EL-67,10082,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 4:43 PM,09/Sep/21 5:05 AM,08/Sep/21 4:43 PM,09/Sep/21 5:05 AM,,0,When a user navigates the Agenda List option in personal agenda they can change their month by using *Previous* Button to Find their scheduled or pending  work which they have  added in their personal agenda.  ,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000er:,,EL Sprint 1,,,,,,,,,Done
Verify that 'Next Button' to change the month is working or not. ,EL-66,10081,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 11:08 AM,09/Sep/21 5:05 AM,08/Sep/21 4:45 PM,09/Sep/21 5:05 AM,,0,When a user navigates the Agenda List option in personal agenda they can change their month by using *Next* Button to Find their scheduled or pending  work which they have  added in their personal agenda.  ,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ej:,,EL Sprint 1,,,,,,,,,Done
"Verify the 'Session Plan Calendar' in personal agenda, That a User is not able to see the content. ",EL-65,10080,Bug,To Do,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 10:02 AM,08/Sep/21 10:30 AM,08/Sep/21 10:15 AM,,,0,"Steps To Reproduce.

# Go to the  *_e_Learning Website._*
# Go to personal agenda and select for 'Session Plan Calendar' option from Toolbar in personal agenda.
# User is unable to See the content in this option.



*Expected Result* *:*-  When an User navigates for this option that user should able to see the Session or Available plans for the particular course sorted with Dates. 

*Actual result*  :- User is unable to see the Plans/ Session available in ‘Session Plan Calendar’

h2. 

!Session Plan Calendar .jpg|width=1920,height=1080!",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,EL-64,,EL-64,,,,,,,,,,,,,,08/Sep/21 10:14 AM;ug:04b627af-7f1d-494b-bc4c-42af51646025;Session Plan Calendar .jpg;https://corporateola123456.atlassian.net/secure/attachment/10006/Session+Plan+Calendar+.jpg,,,,,,{},,,,,,,0|i0002w:x,,EL Sprint 1,,,,,,,,,To Do
Verify the 'Session Plan Calendar' Button from Toolbar in Personal agenda.,EL-64,10079,Test,Block,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,07/Sep/21 3:52 AM,08/Sep/21 10:36 AM,09/Sep/21 5:13 AM,,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002w:v,,EL Sprint 1,,,,,,,,,In Progress
Verify the 'Agenda List' Button from Toolbar in Personal agenda.,EL-63,10078,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,07/Sep/21 3:44 AM,07/Sep/21 8:31 AM,08/Sep/21 7:42 PM,07/Sep/21 8:31 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002w:r,,EL Sprint 1,,,,,,,,,Done
Verify for agenda list that saved Personal agenda is showing correctly or not. ,EL-62,10077,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 6:59 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000eb:,,EL Sprint 1,,,,,,,,,Done
Verify the 'Description' by Hover in 'Agenda List' where an user added a personal agenda.,EL-61,10076,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 6:52 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000e3:,,EL Sprint 1,,,,,,,,,Done
Verify that saved  'Title' is visible or not For a personal agenda in agenda List.,EL-60,10075,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 6:45 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dv:,,EL Sprint 1,,,,,,,,,Done
Verify that in clicking on 'Agenda List' in  personal Agenda option agenda list  widget should open.,EL-59,10074,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 3:09 PM,07/Sep/21 9:07 AM,07/Sep/21 9:14 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dn:,,EL Sprint 1,,,,,,,,,Done
As a user I want to check my Agenda List So that I can overview my agenda list which I have made.,EL-58,10073,Story,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 12:42 PM,08/Sep/21 6:54 PM,08/Sep/21 6:54 PM,07/Sep/21 8:40 AM,,0,"*AS A USER* 

*I WANT TO* check  my agenda List 

*SO THAT* I can overview my agenda list which I have made.



*SCOPE*

* Build a Agneda List Page in Personal Agenda.
* User should able to see the Agenda List.
* It should work in all browsers.
* It should also work in mobile.



*Pre Conditions*

* User should have logged in the _E-learning Website_.
* User should have to select the Personal Agenda option in E-learning website.
* User should have selected _Agenda List_ option in personal agenda

 

*_Acceptance Criteria_*

# Given that I am a registered user and Logged in E-learning Website. If I go to the personal Agenda page and if I click on Agenda List  option then Agenda List option should be accessible.",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,EL-59,EL-60,EL-61,EL-66,,,,,,,,,,,,,,,,,{},,EL-1,,,,,0|i000df:,,EL Sprint 1,,,,,,,,,Done
Verify the data time in calendar by Day,EL-57,10072,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 12:38 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000d7:,,EL Sprint 1,,,,,,,,,Done
Verify the agenda Day view for a Day.,EL-56,10071,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 12:32 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cz:,,EL Sprint 1,,,,,,,,,Done
Verify the Description by Hover on the the Date where an user added a personal agenda in a Calendar by Day..,EL-55,10070,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 12:29 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cr:,,EL Sprint 1,,,,,,,,,Done
Verify 'Delete' Option for saved personal calendar agenda in calendar by Day.,EL-54,10069,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 11:53 AM,07/Sep/21 8:39 AM,09/Sep/21 5:13 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cj:,,EL Sprint 1,,,,,,,,,Done
Verify that 'Add' button  is Saving the Personal Calendar Agenda for a Day Without entering the 'Title' or 'Description'. ,EL-53,10068,Bug,To Do,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 11:29 AM,07/Sep/21 12:17 PM,08/Sep/21 10:03 AM,,,0,"1. Go to the *_e_Learning Website._*
2. Go to personal agenda and select for calendar by Day option.
3. Go to the personal calendar agenda by clicking the dates
4. Click on  'Add' button  save the Personal calendar  with or without  title as well as description.

Expected Result:- Add button should save the personal Calendar agenda with a Title or Description.

Actual result :- Add Button can  save the personal calendar *without entering* any title or description.",Browser : Chrome version 43.,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,EL-46,EL-52,EL-52,,,,,,,,,,,,,,06/Sep/21 11:29 AM;ug:04b627af-7f1d-494b-bc4c-42af51646025;Untitled.jpg;https://corporateola123456.atlassian.net/secure/attachment/10002/Untitled.jpg,,,,,,{},,,,,,,0|i000cb:,,EL Sprint 1,,,,,,,,,To Do
Verifying the 'Add' Button option to save the personal calendar agenda for calendar by Day.,EL-52,10067,Test,Block,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 11:19 AM,07/Sep/21 9:19 AM,07/Sep/21 11:06 AM,,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000c3:,,EL Sprint 1,,,,,,,,,In Progress
Verifying the toolkit in description box in personal calendar agenda for Calendar by Day.,EL-51,10066,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 10:56 AM,07/Sep/21 8:39 AM,09/Sep/21 5:13 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bv:,,EL Sprint 1,,,,,,,,,Done
Verify the Description box in Personal Calendar for a Calendar By Day.,EL-50,10065,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 10:54 AM,07/Sep/21 9:15 AM,07/Sep/21 9:15 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bn:,,EL Sprint 1,,,,,,,,,Done
Verify For the 'Title' in Personal Calendar agenda for a calendar by day,EL-49,10064,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 10:38 AM,07/Sep/21 8:39 AM,08/Sep/21 8:43 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bf:,,EL Sprint 1,,,,,,,,,Done
Verify for pop up of personal calendar agenda in personal agenda for a day.,EL-48,10063,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 10:26 AM,07/Sep/21 9:15 AM,08/Sep/21 8:42 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000b7:,,EL Sprint 1,,,,,,,,,Done
